node1,node2
(np.int32(0), np.int32(0), np.int32(0), np.int32(0), np.int32(1)),(np.int32(1), np.int32(0), np.int32(1), np.int32(0), np.int32(1))
(np.int32(0), np.int32(1), np.int32(0), np.int32(0), np.int32(0)),(np.int32(1), np.int32(1), np.int32(1), np.int32(0), np.int32(0))
(np.int32(0), np.int32(1), np.int32(0), np.int32(0), np.int32(0)),(np.int32(0), np.int32(1), np.int32(0), np.int32(0), np.int32(1))
(np.int32(0), np.int32(1), np.int32(0), np.int32(0), np.int32(0)),(np.int32(0), np.int32(1), np.int32(0), np.int32(1), np.int32(0))
(np.int32(0), np.int32(1), np.int32(0), np.int32(0), np.int32(0)),(np.int32(1), np.int32(1), np.int32(0), np.int32(1), np.int32(0))
(np.int32(0), np.int32(1), np.int32(0), np.int32(0), np.int32(0)),(np.int32(0), np.int32(1), np.int32(1), np.int32(0), np.int32(0))
(np.int32(0), np.int32(1), np.int32(0), np.int32(0), np.int32(0)),(np.int32(0), np.int32(1), np.int32(0), np.int32(0), np.int32(0))
(np.int32(1), np.int32(1), np.int32(1), np.int32(0), np.int32(0)),(np.int32(1), np.int32(1), np.int32(1), np.int32(0), np.int32(1))
(np.int32(1), np.int32(1), np.int32(1), np.int32(0), np.int32(0)),(np.int32(1), np.int32(1), np.int32(0), np.int32(1), np.int32(0))
(np.int32(1), np.int32(1), np.int32(1), np.int32(0), np.int32(0)),(np.int32(1), np.int32(0), np.int32(1), np.int32(0), np.int32(1))
(np.int32(1), np.int32(1), np.int32(1), np.int32(0), np.int32(0)),(np.int32(0), np.int32(1), np.int32(1), np.int32(0), np.int32(0))
(np.int32(1), np.int32(0), np.int32(1), np.int32(1), np.int32(1)),(np.int32(0), np.int32(0), np.int32(1), np.int32(1), np.int32(0))
(np.int32(1), np.int32(0), np.int32(1), np.int32(1), np.int32(1)),(np.int32(1), np.int32(1), np.int32(1), np.int32(0), np.int32(1))
(np.int32(1), np.int32(0), np.int32(1), np.int32(1), np.int32(1)),(np.int32(1), np.int32(0), np.int32(1), np.int32(1), np.int32(1))
(np.int32(1), np.int32(0), np.int32(1), np.int32(1), np.int32(1)),(np.int32(1), np.int32(0), np.int32(1), np.int32(0), np.int32(1))
(np.int32(1), np.int32(0), np.int32(1), np.int32(1), np.int32(1)),(np.int32(1), np.int32(0), np.int32(0), np.int32(1), np.int32(0))
(np.int32(1), np.int32(0), np.int32(1), np.int32(1), np.int32(1)),(np.int32(0), np.int32(1), np.int32(1), np.int32(1), np.int32(1))
(np.int32(0), np.int32(0), np.int32(1), np.int32(1), np.int32(0)),(np.int32(0), np.int32(1), np.int32(0), np.int32(1), np.int32(0))
(np.int32(0), np.int32(0), np.int32(1), np.int32(1), np.int32(0)),(np.int32(1), np.int32(0), np.int32(0), np.int32(1), np.int32(0))
(np.int32(0), np.int32(0), np.int32(1), np.int32(1), np.int32(0)),(np.int32(0), np.int32(1), np.int32(1), np.int32(0), np.int32(0))
(np.int32(0), np.int32(0), np.int32(1), np.int32(1), np.int32(0)),(np.int32(0), np.int32(1), np.int32(1), np.int32(1), np.int32(1))
(np.int32(0), np.int32(1), np.int32(0), np.int32(0), np.int32(1)),(np.int32(1), np.int32(1), np.int32(1), np.int32(0), np.int32(1))
(np.int32(0), np.int32(1), np.int32(0), np.int32(0), np.int32(1)),(np.int32(0), np.int32(1), np.int32(0), np.int32(1), np.int32(0))
(np.int32(0), np.int32(1), np.int32(0), np.int32(0), np.int32(1)),(np.int32(0), np.int32(1), np.int32(1), np.int32(0), np.int32(0))
(np.int32(0), np.int32(1), np.int32(0), np.int32(0), np.int32(1)),(np.int32(0), np.int32(1), np.int32(1), np.int32(1), np.int32(1))
(np.int32(0), np.int32(1), np.int32(0), np.int32(0), np.int32(1)),(np.int32(0), np.int32(1), np.int32(0), np.int32(0), np.int32(1))
(np.int32(1), np.int32(1), np.int32(1), np.int32(0), np.int32(1)),(np.int32(1), np.int32(0), np.int32(1), np.int32(0), np.int32(1))
(np.int32(1), np.int32(1), np.int32(1), np.int32(0), np.int32(1)),(np.int32(0), np.int32(1), np.int32(1), np.int32(0), np.int32(0))
(np.int32(1), np.int32(1), np.int32(1), np.int32(0), np.int32(1)),(np.int32(0), np.int32(1), np.int32(1), np.int32(1), np.int32(1))
(np.int32(1), np.int32(1), np.int32(1), np.int32(0), np.int32(1)),(np.int32(1), np.int32(1), np.int32(1), np.int32(0), np.int32(1))
(np.int32(0), np.int32(1), np.int32(0), np.int32(1), np.int32(0)),(np.int32(1), np.int32(1), np.int32(0), np.int32(1), np.int32(0))
(np.int32(0), np.int32(1), np.int32(0), np.int32(1), np.int32(0)),(np.int32(1), np.int32(0), np.int32(0), np.int32(1), np.int32(0))
(np.int32(0), np.int32(1), np.int32(0), np.int32(1), np.int32(0)),(np.int32(0), np.int32(1), np.int32(1), np.int32(0), np.int32(0))
(np.int32(0), np.int32(1), np.int32(0), np.int32(1), np.int32(0)),(np.int32(0), np.int32(1), np.int32(1), np.int32(1), np.int32(1))
(np.int32(1), np.int32(1), np.int32(0), np.int32(1), np.int32(0)),(np.int32(1), np.int32(0), np.int32(0), np.int32(1), np.int32(0))
(np.int32(1), np.int32(1), np.int32(0), np.int32(1), np.int32(0)),(np.int32(1), np.int32(1), np.int32(0), np.int32(1), np.int32(0))
(np.int32(0), np.int32(1), np.int32(1), np.int32(0), np.int32(0)),(np.int32(0), np.int32(1), np.int32(1), np.int32(1), np.int32(1))
